"","reference","paperID","common_name","species","animal"
"1","Bestion et al. 2015","p001","common lizard","Zootoca vivipara","Zootoca vivipara"
"2","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis"
"3","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis"
"4","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis"
"5","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis"
"6","Lacey 2004","p002","social tuco-tuco","Ctenomys sociabilis","Ctenomys sociabilis"
"7","Warren & Baines 2007","p003","red grouse","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"8","Warren & Baines 2007","p003","red grouse","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"9","Smith & Anderson 2001","p004","elk","Cervus elaphus","Cervus elaphus"
"10","Smith 1993","p005","tiger","Panthera tigris & Panthera tigris tigris","Panthera tigris"
"11","Smith 1993","p005","tiger","Panthera tigris & Panthera tigris tigris","Panthera tigris"
"12","Matthews et al. 2013","p006","fisher","Martes pennanti","Martes pennanti"
"13","Stillman et al. 2022","p007","black-backed woodpecker","Picoides arcticus","Picoides arcticus"
"14","Zepeda et al. 2021","p008","coyote","Canis latrans","Canis latrans"
"15","Dueser et al. 1981","p009","meadow vole","Microtus pennsylvanicus","Microtus pennsylvanicus"
"16","Dueser et al. 1981","p009","meadow vole","Microtus pennsylvanicus","Microtus pennsylvanicus"
"17","Dueser et al. 1981","p009","meadow vole","Microtus pennsylvanicus","Microtus pennsylvanicus"
"18","Dueser et al. 1981","p009","meadow vole","Microtus pennsylvanicus","Microtus pennsylvanicus"
"19","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","Accipiter nisus"
"20","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","Accipiter nisus"
"21","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","Accipiter nisus"
"22","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","Accipiter nisus"
"23","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","Accipiter nisus"
"24","Newton & Marquiss 1983","p010","sparrowhawk","Accipiter nisus","Accipiter nisus"
"25","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"26","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"27","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"28","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"29","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"30","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"31","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"32","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"33","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"34","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"35","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"36","Johnson & Gaines 1985","p011","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"37","Jones 1986","p012","banner-tailed kangaroo rat","Dipodomys spectabilis","Dipodomys spectabilis"
"38","Jones 1986","p012","banner-tailed kangaroo rat","Dipodomys spectabilis","Dipodomys spectabilis"
"39","Jones 1986","p012","banner-tailed kangaroo rat","Dipodomys spectabilis","Dipodomys spectabilis"
"40","Jones 1986","p012","banner-tailed kangaroo rat","Dipodomys spectabilis","Dipodomys spectabilis"
"41","Krohne & Burgin 1987","p013","white-footed mouse","Peromyscus leucopus","Peromyscus leucopus"
"42","Krohne & Burgin 1987","p013","white-footed mouse","Peromyscus leucopus","Peromyscus leucopus"
"43","Krohne & Burgin 1987","p013","white-footed mouse","Peromyscus leucopus","Peromyscus leucopus"
"44","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"45","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"46","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"47","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"48","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"49","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"50","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"51","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"52","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"53","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"54","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"55","Johnson & Gaines 1987","p014","prairie vole","Microtus ochrogaster","Microtus ochrogaster"
"56","Garrett & Franklin 1988","p015","black-tailed prairie dog","Cynomys ludovicianus","Cynomys ludovicianus"
"57","Creel & Waser 1994","p016","dwarf mongoose","Helogale parvula","Helogale parvula"
"58","Creel & Waser 1994","p016","dwarf mongoose","Helogale parvula","Helogale parvula"
"59","Wolff et al. 1988","p017","white-footed mouse","Peromyscus leucopus","Peromyscus leucopus"
"60","Clobert et al. 1988","p018","great tit","Parus major","Parus major"
"61","Clobert et al. 1988","p018","great tit","Parus major","Parus major"
"62","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"63","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"64","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"65","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"66","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"67","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"68","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"69","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"70","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"71","Schieek & Hannon 1989","p019","willow ptarmigan","Lagopus lagopus & Lagopus lagopus scoticus","Lagopus lagopus"
"72","Elowe et al. 1989","p020","black bear","Ursus americanus","Ursus americanus"
"73","Nilsson 1989","p021","marsh tit","Parus palustris","Parus palustris"
"74","Nilsson 1989","p021","marsh tit","Parus palustris","Parus palustris"
"75","Nilsson 1989","p021","marsh tit","Parus palustris","Parus palustris"
"76","Nilsson 1989","p021","marsh tit","Parus palustris","Parus palustris"
"77","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"78","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"79","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"80","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"81","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"82","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"83","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"84","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"85","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"86","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"87","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"88","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"89","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"90","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"91","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"92","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"93","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"94","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"95","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"96","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"97","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"98","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"99","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"100","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"101","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"102","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"103","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"104","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"105","Strickland 1991","p023","gray jay","Perisoreus canadensis","Perisoreus canadensis"
"106","Strickland 1991","p023","gray jay","Perisoreus canadensis","Perisoreus canadensis"
"107","Strickland 1991","p023","gray jay","Perisoreus canadensis","Perisoreus canadensis"
"108","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"109","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"110","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"111","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"112","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"113","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"114","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"115","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"116","Schwartz & Franzmann 1992","p025","black bear","Ursus americanus","Ursus americanus"
"117","Schwartz & Franzmann 1992","p025","black bear","Ursus americanus","Ursus americanus"
"118","Glander 1992","p026","mantled howling monkey","Alouatta palliata","Alouatta palliata"
"119","Glander 1992","p026","mantled howling monkey","Alouatta palliata","Alouatta palliata"
"120","Beaudette & Keppie 1992","p027","spruce grouse","Falcipennis canadensis","Falcipennis canadensis"
"121","Beaudette & Keppie 1992","p027","spruce grouse","Falcipennis canadensis","Falcipennis canadensis"
"122","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","Passerina cyanea"
"123","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","Passerina cyanea"
"124","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","Passerina cyanea"
"125","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","Passerina cyanea"
"126","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","Passerina cyanea"
"127","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","Passerina cyanea"
