"","reference","paperID","common_name","species_cleaned","dispersal_type"
"210","Lozano & Lemon 1999","p064","yellow warbler","Setophaga petechia","breeding"
"211","Rosenberry et al. 1999","p065","white-tailed deer","Odocoileus virginianus","natal"
"212","Hefner & Green 1999","p066","arabian wolf","Canis lupus","B"
"213","Boyd & Pletscher 1999","p067","gray wolf","Canis lupus","natal"
"214","Boyd & Pletscher 1999","p067","gray wolf","Canis lupus","natal"
"215","Boyd & Pletscher 1999","p067","gray wolf","Canis lupus","natal"
"216","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","breeding"
"217","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","breeding"
"218","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","breeding"
"219","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","breeding"
"220","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","natal"
"221","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","natal"
"222","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","natal"
"223","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","natal"
"224","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","natal"
"225","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","natal"
"226","Berteaux & Boutin 2000","p069","north american red squirrel","Tamiasciurus hudsonicus","natal"
"227","Gillis & Krebs 2000","p070","snowshoe hare","Lepus americanus","natal"
"228","Koopman et al. 2000","p071","san joaquin kit fox","Vulpes macrotis","natal"
"229","Koopman et al. 2000","p071","san joaquin kit fox","Vulpes macrotis","natal"
"230","van der Jeugd 2001","p072","baltic barnacle goose","Branta leucopsis","natal"
"231","van der Jeugd 2001","p072","baltic barnacle goose","Branta leucopsis","natal"
"232","van der Jeugd 2001","p072","baltic barnacle goose","Branta leucopsis","natal"
"233","Real & Mañosa 2001","p073","bonelli's eagle","Hieraaetus fasciatus","natal"
"234","Byrom 2002","p074","ferret","Mustela putorius furo","natal"
